Model,Corpus,FP_Rate,Word_Count
gpt-4.1,C1_abstract,0.00,297
gpt-4.1,C1_abstract,0.00,259
gpt-4.1,C2_identity,7.37,217
gpt-4.1,C2_identity,8.57,105
gpt-4.1,C3_creative,0.00,143
gpt-4.1,C3_creative,4.48,134
gpt-4o,C1_abstract,0.00,448
gpt-4o,C1_abstract,0.00,409
gpt-4o,C2_identity,8.76,137
gpt-4o,C2_identity,14.41,118
gpt-4o,C3_creative,0.00,158
gpt-4o,C3_creative,3.88,129
gpt-4o-mini,C1_abstract,0.00,476
gpt-4o-mini,C1_abstract,0.00,425
gpt-4o-mini,C2_identity,9.52,84
gpt-4o-mini,C2_identity,10.71,112
gpt-4o-mini,C3_creative,0.00,329
gpt-4o-mini,C3_creative,5.38,130
claude-sonnet-4-5,C1_abstract,0.00,227
claude-sonnet-4-5,C1_abstract,0.00,170
claude-sonnet-4-5,C2_identity,7.96,201
claude-sonnet-4-5,C2_identity,9.88,253
claude-sonnet-4-5,C3_creative,0.00,184
claude-sonnet-4-5,C3_creative,3.90,231
claude-haiku-4-5,C1_abstract,0.00,178
claude-haiku-4-5,C1_abstract,0.00,218
claude-haiku-4-5,C2_identity,8.58,233
claude-haiku-4-5,C2_identity,12.24,237
claude-haiku-4-5,C3_creative,3.11,193
claude-haiku-4-5,C3_creative,11.85,211
llama-3.3-70b,C1_abstract,0.00,460
llama-3.3-70b,C1_abstract,0.00,451
llama-3.3-70b,C2_identity,6.32,427
llama-3.3-70b,C2_identity,8.86,350
llama-3.3-70b,C3_creative,0.00,400
llama-3.3-70b,C3_creative,7.11,450
